index,geom
657,POINT (34.804259750048935 32.105237771415034)
659,POINT (34.819370791554256 32.13208815728494)
661,POINT (34.78879660099513 32.12400309705746)
662,POINT (34.79812016466365 32.041177893776776)
664,POINT (34.80067835714769 32.13471731562513)
666,POINT (34.845656136543404 32.08702122033068)
668,POINT (34.84818190180803 32.099347692406816)
670,POINT (34.78782453754724 32.10265762041481)
675,POINT (34.80665558348728 32.10951648715512)
677,POINT (34.817143695911675 32.09487240750792)
678,POINT (34.80113434661696 32.049700377783935)
679,POINT (34.80558054818708 32.083447098067936)
680,POINT (34.82354987066188 32.07611249909849)
682,POINT (34.808776098586144 32.10662256043973)
684,POINT (34.78578896682784 32.0171685334301)
685,POINT (34.80467251413102 32.08090041930957)
687,POINT (34.79176023736634 32.01782384730568)
688,POINT (34.86340935717244 32.076455268934836)
689,POINT (34.812025268440195 32.100585575213294)
690,POINT (34.83364550817913 32.10259974735639)
692,POINT (34.83097500296648 32.093772092579854)
693,POINT (34.81909644828953 32.112371679212615)
694,POINT (34.822071576967886 32.09347220397312)
697,POINT (34.80046435745238 32.106796764147866)
700,POINT (34.81614986366738 32.06544622936545)
701,POINT (34.7896243735668 32.09485204140674)
703,POINT (34.8002442865363 32.09270532105648)
705,POINT (34.81979632827972 32.08670783620691)
710,POINT (34.794414327517124 32.00903711115994)
711,POINT (34.862823885034125 32.07305857333332)
718,POINT (34.79208734698824 32.10321295007074)
719,POINT (34.79967115695204 32.075348959342406)
723,POINT (34.794604365672264 32.078950194435045)
726,POINT (34.77851480764503 32.09320700749143)
728,POINT (34.81555174968149 32.09269295834611)
730,POINT (34.76280316135905 32.04607678251092)
732,POINT (34.79155083019778 32.09625986123139)
736,POINT (34.81311792439232 32.10229133759368)
741,POINT (34.79934133397673 32.1345383013293)
742,POINT (34.81618982829801 32.07000664831475)
744,POINT (34.77970384890516 32.075836243545496)
746,POINT (34.83177115740301 32.09374149904544)
753,POINT (34.85510540647151 32.0981213924949)
759,POINT (34.78121867511109 32.0968311105293)
762,POINT (34.82300539118566 32.07140624880577)
766,POINT (34.798333804474154 32.089669130641234)
768,POINT (34.79606551411587 32.09195437369807)
772,POINT (34.81555658863646 32.07630518172696)
775,POINT (34.806562452652116 32.08116858719191)
776,POINT (34.79056354456183 32.103338796859425)
778,POINT (34.82740425441061 32.11458295288233)
780,POINT (34.799754417722575 32.06863389270294)
788,POINT (34.82229478308799 32.08953838529483)
790,POINT (34.80303685970794 32.10158967110197)
791,POINT (34.79248290837519 32.09321855131217)
792,POINT (34.795724778956554 32.09778820250523)
793,POINT (34.805650254805784 32.06407287695118)
795,POINT (34.78544149504268 32.09349458261353)
801,POINT (34.81099895499895 32.10439111267239)
804,POINT (34.78808588193731 32.1048156197495)
806,POINT (34.77468824263156 32.01467754235288)
814,POINT (34.81199198119784 32.133353180322615)
816,POINT (34.79918842889929 32.12715942698149)
817,POINT (34.81341301945895 32.101543270636824)
818,POINT (34.82352052818263 32.09048265864318)
821,POINT (34.793989278920975 32.1356060016658)
822,POINT (34.79504188479661 32.07889905909446)
825,POINT (34.798951157435255 32.085063049633675)
831,POINT (34.84844634175693 32.10742977993845)
834,POINT (34.81689915809214 32.080463598991805)
835,POINT (34.793881207930724 32.049320392805456)
836,POINT (34.823679200860255 32.06801618545556)
840,POINT (34.8058701679007 32.10327797848462)
841,POINT (34.81970338927241 32.095790869289154)
843,POINT (34.788218151753135 32.022419929093346)
847,POINT (34.79954169263232 32.09248617336501)
851,POINT (34.79846619727956 32.073093829138934)
853,POINT (34.837201310891594 32.08307274035502)
855,POINT (34.78145379980583 32.09669720773352)
857,POINT (34.80226337236172 32.09676766213375)
859,POINT (34.778027633886616 32.03826822662743)
864,POINT (34.800450835371464 32.04007395463249)
865,POINT (34.808185375203514 32.092862801665746)
869,POINT (34.787263657264575 32.07966905073186)
872,POINT (34.81607294505111 32.0767065094117)
874,POINT (34.7899116370157 32.13107798079439)
879,POINT (34.7787418227134 32.01908267051922)
882,POINT (34.778622089443466 32.078139257446054)
887,POINT (34.82590133381207 32.1168263105047)
891,POINT (34.79028003978087 32.10270142792387)
893,POINT (34.82545944546091 32.083934601229146)
894,POINT (34.82712434278668 32.07950505948076)
896,POINT (34.82406837203194 32.10733261881855)
897,POINT (34.815206784249604 32.04989136101895)
901,POINT (34.787618371980415 32.103923027062805)
902,POINT (34.78961404300542 32.11155349892615)
906,POINT (34.859067359580905 32.07515817897636)
911,POINT (34.80692194196881 32.0876390453534)
912,POINT (34.82144891235016 32.11851145884861)
913,POINT (34.85926520998349 32.0830487833929)
918,POINT (34.771603346688494 32.056904804585926)
920,POINT (34.798557906117615 32.079880915824525)
924,POINT (34.83754728229446 32.12036501621924)
927,POINT (34.805362620005035 32.09178232340523)
934,POINT (34.78009426885034 32.0100031725833)
935,POINT (34.78182818998407 32.06976443798594)
936,POINT (34.80007155071218 32.084880322993506)
937,POINT (34.801492202779514 32.12891959465218)
939,POINT (34.75324179957725 32.03552880329371)
941,POINT (34.782500124446 32.12081062075931)
947,POINT (34.80545470195725 32.085240535944955)
949,POINT (34.775947942013886 32.02082637838411)
951,POINT (34.79971614681938 32.08711416635033)
952,POINT (34.81414770944859 32.115641164486526)
954,POINT (34.82036949266453 32.114498743798066)
957,POINT (34.81108988157632 32.11220778114715)
960,POINT (34.81846878992972 32.0803537076618)
963,POINT (34.820204499657656 32.111007882531055)
966,POINT (34.81103020597361 32.00686369477246)
968,POINT (34.79856628439998 32.10136665261765)
971,POINT (34.85833481228988 32.06863512349026)
974,POINT (34.79310585796834 32.02857703976361)
975,POINT (34.85381040279238 32.101003364320746)
976,POINT (34.816911684895246 32.06453434562637)
980,POINT (34.80415809930193 32.10241787314123)
981,POINT (34.79773596982275 32.072567279432604)
986,POINT (34.81680834941501 32.09834119696042)
988,POINT (34.7764592993534 32.02015339536429)
990,POINT (34.78306708534819 32.0228468728013)
993,POINT (34.79706329740144 32.033773599757296)
994,POINT (34.79388335567377 32.08588542758035)
995,POINT (34.81255423417287 32.083568221559176)
996,POINT (34.8085932864618 32.04462511923286)
1005,POINT (34.80401437255405 32.11803064902948)
1006,POINT (34.81326168848199 32.08767614734806)
1014,POINT (34.82100600422643 32.070461908720965)
1016,POINT (34.77305950151115 32.02508741418627)
1017,POINT (34.79778947393438 32.09561000691529)
1018,POINT (34.827164670222174 32.09348131314624)
1021,POINT (34.83291604257536 32.098447518956185)
1025,POINT (34.81141072780488 32.08778477027737)
1027,POINT (34.79789970094433 32.06585530429001)
1028,POINT (34.787254133204875 32.13638024461638)
1037,POINT (34.80872726201296 32.0874236644019)
1045,POINT (34.79528679645008 32.107219945612094)
1047,POINT (34.79706397601101 32.119839663577274)
1052,POINT (34.80823634414819 32.09874427965602)
1053,POINT (34.79641139802583 32.0404763975373)
1055,POINT (34.804219365370884 32.09451998112972)
1056,POINT (34.78451750787242 32.103605692099606)
1061,POINT (34.785239235502026 32.01686923060521)
1064,POINT (34.77988216547777 32.02252752073186)
1067,POINT (34.79058916220716 32.08879691534769)
1069,POINT (34.80190269502626 32.02678526096274)
1070,POINT (34.791613991676904 32.084804758827374)
1071,POINT (34.86390139907709 32.07801316826243)
1072,POINT (34.80310365464747 32.13526218817016)
1073,POINT (34.843164062290086 32.08737488125422)
1075,POINT (34.791935958248274 32.11594326153957)
1076,POINT (34.82748074321829 32.09338318817542)
1082,POINT (34.793446861756145 32.08349128992083)
1083,POINT (34.80950851367342 32.066748793265724)
1084,POINT (34.78683213102161 32.00471508859061)
1086,POINT (34.826007579899226 32.114131907788234)
1088,POINT (34.82178034942083 32.11295226381625)
1090,POINT (34.81127980805155 32.10482173046561)
1096,POINT (34.82232819329344 32.08217457465707)
1100,POINT (34.80583762312554 32.08669950080256)
1108,POINT (34.8141213370831 32.106791431489306)
1109,POINT (34.807100569735994 32.09577114671795)
1114,POINT (34.79785214123853 32.13706480711565)
1119,POINT (34.78262844179443 32.10440652817408)
1128,POINT (34.79558129394246 32.09056166275024)
1132,POINT (34.810656532875456 32.07484444813327)
1135,POINT (34.78322985892202 32.09667947286776)
1145,POINT (34.79328737005568 32.123200716466904)
1146,POINT (34.80812999440978 32.10878333899909)
1148,POINT (34.831987446769375 32.09142883531839)
1154,POINT (34.82470343133251 32.10254343448043)
1157,POINT (34.802681380173404 32.08696908326278)
1164,POINT (34.817913395054255 32.1021063873254)
1165,POINT (34.79829650485497 32.10611630606224)
1167,POINT (34.80529406886549 32.10714573380913)
1172,POINT (34.80199554709177 32.09251024206671)
1175,POINT (34.82355373801098 32.09401836817729)
1177,POINT (34.783393213868166 32.06049071921071)
1185,POINT (34.7858556618082 32.03557133722659)
1190,POINT (34.782877971217815 32.10856311970982)
1191,POINT (34.809469126616285 32.09878505574909)
1193,POINT (34.806864174438694 32.096408336345355)
1194,POINT (34.79024196652805 32.09276986798016)
1199,POINT (34.807603647268365 32.07528888505605)
1205,POINT (34.818053592754076 32.08317581159461)
1207,POINT (34.78812056460302 32.091528159534555)
1211,POINT (34.787270739541164 32.1305403251587)
1212,POINT (34.7784260936567 32.03665506590344)
1213,POINT (34.8099156665748 32.127583404773034)
1214,POINT (34.81402346806445 32.106856511230546)
1216,POINT (34.85788817311369 32.090715604059206)
1218,POINT (34.8203217141372 32.102470063501784)
1220,POINT (34.79104713383679 32.04041783734766)
1222,POINT (34.80915384444659 32.13324448702038)
1223,POINT (34.79767889400751 32.08514968154188)
1229,POINT (34.79301728304717 32.0484327491176)
1230,POINT (34.80345300524276 32.13037422205519)
1231,POINT (34.826698736569305 32.085897208434666)
1233,POINT (34.80093486940995 32.12522419357957)
1239,POINT (34.78265155884258 32.11206177479574)
1240,POINT (34.838566660266906 32.09203445222902)
1242,POINT (34.80330132730364 32.06228756466245)
1245,POINT (34.808201456858725 32.07877994317461)
1246,POINT (34.804878390443584 32.13279859571461)
1249,POINT (34.80969062111538 32.08691435999179)
1250,POINT (34.82611172291442 32.09123048623115)
1252,POINT (34.86097194222173 32.07927894413034)
1255,POINT (34.81281168775171 32.10367446876558)
1256,POINT (34.81739843241733 32.08815822903608)
1259,POINT (34.856284308255574 32.089893278035966)
1262,POINT (34.79901330131255 32.08978769920354)
1263,POINT (34.80282626102285 32.0955737580539)
1264,POINT (34.81586230025698 32.01957046096653)
1271,POINT (34.80126028484818 32.11555695370503)
1273,POINT (34.818407378326626 32.06932940264968)
1274,POINT (34.79316763685091 32.03228405868518)
1278,POINT (34.792047084275765 32.132833061740136)
1280,POINT (34.86237065054036 32.07966699062349)
1287,POINT (34.816027392789465 32.08789515046114)
1298,POINT (34.798360550281494 32.07613902980274)
1300,POINT (34.805891436580644 32.06536924046905)
1305,POINT (34.79340205415759 32.091154531459345)
1306,POINT (34.78197395733991 32.014151649384814)
1307,POINT (34.80919119565234 32.02079243677227)
1310,POINT (34.80675096463239 32.112584900893275)
1316,POINT (34.80027477363081 32.044570763009695)
1317,POINT (34.8308031850129 32.08688793642889)
1318,POINT (34.80150944686054 32.065099384700716)
1323,POINT (34.81135045840324 32.10671625811427)
1326,POINT (34.80466043314624 32.10734368729956)
1333,POINT (34.81196120056918 32.079483525526946)
1339,POINT (34.79608343509953 32.083207256435294)
1342,POINT (34.792936372083076 32.038495294343534)
1343,POINT (34.79265198761356 32.06702618885823)
1345,POINT (34.81042357069115 32.11089121980184)
1347,POINT (34.8607764881399 32.10065569898495)
1349,POINT (34.82567460850598 32.106589833545655)
1350,POINT (34.81937512240678 32.09327229475981)
1355,POINT (34.80878166135719 32.089814815071286)
1356,POINT (34.826802309847594 32.10228509819969)
1359,POINT (34.795228902140465 32.02448943994014)
1360,POINT (34.803380247499575 32.100032380050735)
1365,POINT (34.85526456166699 32.09529982354182)
1366,POINT (34.8609016521459 32.09169951256511)
1368,POINT (34.83099340580824 32.072455859462565)
1371,POINT (34.80787094506616 32.099379271097135)
1373,POINT (34.799275445061056 32.11149726196832)
1374,POINT (34.8127215632193 32.106810411512114)
1375,POINT (34.78962255557654 32.04068459814602)
1376,POINT (34.80332355620424 32.076402300631536)
1384,POINT (34.826278496814844 32.08960409001263)
1389,POINT (34.78769555535227 32.11031623441288)
1392,POINT (34.80891707237847 32.13019276682665)
1394,POINT (34.79510405184327 32.092139677268555)
1396,POINT (34.7938118273288 32.11199560617143)
1397,POINT (34.79288196854558 32.04517422456926)
1400,POINT (34.7970506143035 32.115533182585274)
1403,POINT (34.84961197768592 32.09525355888736)
1404,POINT (34.81008752840275 32.08764114481055)
1407,POINT (34.79871624801825 32.098616567703274)
1411,POINT (34.81651667024224 32.09819772357145)
1412,POINT (34.7913662437965 32.07764228011955)
1415,POINT (34.81573636934786 32.1022951169778)
1423,POINT (34.799410696756 32.07873467321391)
1424,POINT (34.82093635575992 32.09903090636037)
1426,POINT (34.810664250661084 32.08179739449563)
1427,POINT (34.857090678439015 32.07783120961944)
1429,POINT (34.817386794231616 32.11627175532159)
1430,POINT (34.8090729779828 32.09445504572359)
1431,POINT (34.796213426822284 32.10999871555424)
1433,POINT (34.80175594627054 32.09241460338786)
1435,POINT (34.805099007338875 32.08934483014095)
1436,POINT (34.846661136562126 32.10914695199317)
1438,POINT (34.81146666961332 32.083086867950385)
1441,POINT (34.861937733423375 32.078939694594965)
1442,POINT (34.77651344006002 32.03484904757338)
1443,POINT (34.821336069553226 32.09449922824084)
1445,POINT (34.819567928468445 32.11658515419431)
1446,POINT (34.80676584185473 32.069024095522565)
1448,POINT (34.80317252724966 32.10813490813193)
1449,POINT (34.785371632324484 32.04274405941455)
1452,POINT (34.82707354803329 32.13115007355552)
1453,POINT (34.80679661097652 32.13183821649481)
1457,POINT (34.81584366974398 32.10158694902305)
1458,POINT (34.795837837994945 32.100559978148766)
1460,POINT (34.80000141597007 32.13394453738021)
1461,POINT (34.81519809700368 32.134174382721014)
1464,POINT (34.81398237691752 32.11408731155995)
1466,POINT (34.82109516806773 32.10074144505777)
1469,POINT (34.80678123015561 32.10684326385546)
1471,POINT (34.79731716348441 32.10173582662957)
1473,POINT (34.77657557937545 32.04643792775393)
1477,POINT (34.86188960992821 32.08802975105677)
1479,POINT (34.81036746454314 32.132886175011514)
1480,POINT (34.79011105778877 32.08381101160242)
1483,POINT (34.795630057198686 32.035968318518556)
1500,POINT (34.79158493954714 32.098827107571005)
1513,POINT (34.812838844748164 32.12904514881572)
1515,POINT (34.796457633815784 32.08140251193894)
1522,POINT (34.791712185395546 32.10291011920536)
1530,POINT (34.81631310465208 32.09839448489549)
1532,POINT (34.782582923177124 32.119196886528435)
1536,POINT (34.802011933017475 32.0831306376297)
1538,POINT (34.79379504237712 32.134536267579975)
1539,POINT (34.82446630197873 32.080551080849396)
1543,POINT (34.8024660898061 32.08707158011166)
1545,POINT (34.80695046111528 32.01434524802057)
1546,POINT (34.80255090237373 32.09198123481888)
1550,POINT (34.822504386644944 32.075006613496114)
1552,POINT (34.74821371610769 32.02434752200429)
1553,POINT (34.83311259334833 32.08615687167514)
1555,POINT (34.81945123400791 32.069917864364164)
1562,POINT (34.796582706650554 32.08720386786757)
1564,POINT (34.80888957106425 32.08947115663781)
1565,POINT (34.75958771290475 32.036477674824695)
1569,POINT (34.7958119120091 32.11331749143134)
1570,POINT (34.79404634784471 32.02015561475114)
1574,POINT (34.815175501073625 32.13298922288773)
1579,POINT (34.79034774368155 32.11626234397204)
1580,POINT (34.800049165341484 32.06757784528662)
1588,POINT (34.79662363673967 32.08435031479618)
1591,POINT (34.80194984792155 32.09122887579352)
1594,POINT (34.78324271979185 32.03463608423232)
1596,POINT (34.80409992929801 32.09133820176702)
1600,POINT (34.84918232761371 32.09383184052214)
1601,POINT (34.80671044666727 32.10820760695789)
1603,POINT (34.80604310305157 32.10012684696477)
1604,POINT (34.84375418678267 32.06399428512711)
1608,POINT (34.79817504903325 32.08455462691628)
1610,POINT (34.81567806285714 32.09945846497555)
1612,POINT (34.77782091839688 32.09010097454309)
1615,POINT (34.8330891370084 32.09319601023256)
1619,POINT (34.804599503577705 32.08648500350637)
1620,POINT (34.82601205034657 32.080307197364874)
1623,POINT (34.82288372229235 32.13275194752239)
1626,POINT (34.81695623244903 32.080388507637146)
1627,POINT (34.806626428233116 32.08815081364361)
1630,POINT (34.815022663839805 32.094872102237886)
1632,POINT (34.81105558277261 32.090539591453684)
1635,POINT (34.79056970725448 32.061835291358285)
1638,POINT (34.81817137063936 32.09044385231694)
1640,POINT (34.81238790817167 32.08751200646824)
1643,POINT (34.802808810749944 32.10272549809144)
1649,POINT (34.8137081763433 32.06924563321625)
1650,POINT (34.79615160938029 32.0960358000459)
1658,POINT (34.823002382135286 32.10912450425348)
1664,POINT (34.80788917140888 32.10232198444381)
1667,POINT (34.81513853614169 32.08831384467646)
1669,POINT (34.81868378372703 32.09123713865065)
1670,POINT (34.79532384537318 32.07618336597768)
1672,POINT (34.81491907700601 32.12202403843951)
1673,POINT (34.81760545973749 32.07893602028907)
1675,POINT (34.818780069395835 32.08293526487051)
1676,POINT (34.78960204738512 32.13620568519735)
1677,POINT (34.78320247904975 32.015609761115456)
1678,POINT (34.808803609211736 32.07890807588094)
1683,POINT (34.80442916887404 32.0711426672071)
1684,POINT (34.81074241068238 32.09069458954173)
1694,POINT (34.79255642554018 32.11605972912622)
1695,POINT (34.77905865506061 32.02426437624133)
1698,POINT (34.85695271187528 32.08802693916975)
1699,POINT (34.79282220737047 32.07564241060714)
1701,POINT (34.78869012395534 32.138175155524024)
1702,POINT (34.8163495774189 32.10221863178087)
1703,POINT (34.83547174647383 32.09091300606077)
1706,POINT (34.80686551725872 32.084510396939606)
1708,POINT (34.823126376053104 32.08676925477257)
1714,POINT (34.794559616475695 32.045210712999555)
1716,POINT (34.82248866939581 32.09329933179118)
1717,POINT (34.83834163402488 32.096782062006085)
1718,POINT (34.803498619451595 32.08574831451397)
1722,POINT (34.78567746017189 32.09598264741339)
1723,POINT (34.811287513545906 32.10697645027254)
1724,POINT (34.80962390515664 32.12850450835377)
1725,POINT (34.819173231331426 32.10108436357579)
1727,POINT (34.81428570025929 32.11926189298897)
1737,POINT (34.799965228763014 32.063287244485885)
1738,POINT (34.77472220230742 32.02636387020369)
1740,POINT (34.79875733792606 32.0772591795071)
1742,POINT (34.80555262889698 32.102261356701405)
1747,POINT (34.8177836181939 32.105061585555845)
1748,POINT (34.79804258493994 32.08000554648407)
1755,POINT (34.81978033001848 32.11314891647238)
1758,POINT (34.821229339359775 32.08138763174253)
1764,POINT (34.84140835167546 32.09757295011292)
1765,POINT (34.82933505203267 32.08679031882496)
1766,POINT (34.80074129252817 32.13505113458998)
1767,POINT (34.84020596858119 32.08166441338334)
